Category,Name,ASIN,Seller,Date Shipped,Price($),Items Shipped,Returns,Revenue($),Ad Fees($)
Home,Floral Peel and Stick Wallpaper Contact Paper: Vintage Removable Wallpaper Bird Stick on Wallpaper 17.7 x 118.1 inch Self Adhesive Green Wallpaper,B0B2C615G9,3rd Party,07/09/2022 18:36,11.69,0,1,-11.69,-1.17
Furniture,"Amazon Brand - Stone & Beam Westview Extra-Deep Down-Filled Leather Accent Chair, 43.3""W, Dark Grey",B082VL7BQ1,Amazon.com,07/09/2022 17:26,342.32,1,0,342.32,34.23
Power & Hand Tools,"Pipe Strap,10MM Hole Strap,304 Stainless Steel Two Hole Tube U Bracket Rigid Pipe Strap Tension Clips U-Tube Clamp Connecting Ring Hose Clamp Card 20P",B07PPKWT6G,3rd Party,07/09/2022 14:15,6.99,1,0,6.99,0.7
Electronic Components & Home Audio,"Sleek Socket 6 Outlet Surge Protector, Ultra-Thin Outlet Concealer with Cord Concealer Kit, 6-Foot Cord, Universal Size (Ideal for Home Office & Home ",B08KFX561X,3rd Party,07/09/2022 12:51,33.95,1,0,33.95,1.36
Kitchen & Dining,"LandHome Ziplock Bag Organizer for Drawer - Bamboo Kitchen Food Storage Bag Organizer Holder, Gallon Quart Snack and Sandwich Baggie Organizer Compati",B097CBYF2L,3rd Party,07/09/2022 11:24,29.99,1,0,29.99,3
Home,"Simple&Opulence 100% Washed Linen Duvet Cover Set with Embroidered,King Size(104""x92""),3 Pieces Soft Farmhouse Comforter Set with Button Closure,1 Duv",B0126HED16,3rd Party,07/09/2022 11:19,137.99,1,0,137.99,13.8
Office & School Supplies,"Bliss Collections Holiday Season Gift Tags, Holiday Foliage, Holly Greenery Cards for 'Tis The Season Events, Parties and Celebrations, 2""x3"" (50 Tags",B07ZQR8LXS,3rd Party,07/09/2022 10:30,10.49,1,0,10.49,1.05
Office & School Supplies,"Bliss Collections Merry Little Christmas Tags, Pack of 50, Gold and Black, Holiday ’Tis The Season Events, Parties and Celebrations - Great for Season",B08HR858QF,3rd Party,07/09/2022 10:30,10.49,1,0,10.49,1.05
Jewelry,"JINHUI Green Emerald Birthstone Bracelet for Women, Back to School Gift for Her, Dainty Friendship Bangle Bracelet Birthday Gift 6.7”",B07Q5M8KVC,3rd Party,07/09/2022 10:19,21.59,1,0,21.59,0.86
Home,"BISSELL Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner, 1400B",B0016HF5GK,Amazon.com,07/09/2022 07:50,109.59,1,0,109.59,10.96
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,Amazon.com,07/09/2022 02:30,58.99,0,1,-58.99,-5.9
Home,"ACMEME Long Electric Lighter for Grill, ARC Flameless USB Rechargeable Windproof Cool Lighters for Candle BBQ Camping Cooking - Gold",B08L4LFRLT,3rd Party,07/09/2022 00:58,12.82,1,0,12.82,1.28
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,Amazon.com,07/09/2022 00:56,58.99,1,0,58.99,5.9
Luggage,APHISON RFID Credit Card Holder Zipper Card Case Small Wallets for Women Leather Sunflower style Ladies Girls / Gift Box 1927 GREEN,B08BKMHHWZ,3rd Party,07/09/2022 00:40,13.99,0,1,-13.99,-0.56
Health & Household,"Arm & Hammer Baking Soda Fridge-n-Freezer Odor Absorber, Orange 14 oz, Pack of 12",B01GTNVWYY,Amazon.com,06/09/2022 23:09,17.88,1,0,17.88,0.18
Home,Velidy 6 Tiers Round Macaron Tower Stand Cake Display Rack Cupcake Stand Desserts Display for Wedding Birthday Decor,B07JNF19CX,3rd Party,06/09/2022 22:38,14.99,1,0,14.99,1.5
Grocery & Gourmet Food,Airheads Xtremes Sour Rainbow Berry Chewy Candy Pieces Log Fruit Chew 6 Oz - 0073390009131,B01N5TX5HU,Amazon.com,06/09/2022 21:18,6.96,1,0,6.96,0.07
Kitchen & Dining,"SWOMMOLY 48 Glass Spice Jars with 703 Spice Labels, Chalk Marker and Funnel Complete Set. 48 Square Glass Jars 4OZ, Airtight Cap, Pour/sift Shaker Lid",B07VY3GFKB,3rd Party,06/09/2022 18:27,31.99,1,0,31.99,3.2
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,Amazon.com,06/09/2022 18:22,58.99,1,0,58.99,5.9
Furniture,"Stackable 3-Pack Water Bottle Holder by Eltow - Free Standing Clear Water Bottle Organizer for Kitchen Cabinet, Countertops, Fridge, Freezer, Pantry O",B0985P8XNS,3rd Party,06/09/2022 17:49,27.99,2,0,55.98,5.6
"Shoes, Handbags, Wallets, Sunglasses",Baby Slippers Boys Girls Sneaker Soft Anti-Slip Sole Newborn Infant First Walkers Shoes Socks Shoes,B09FZ33TC6,3rd Party,06/09/2022 16:36,17.99,1,0,17.99,0.72
Home,"Deco 79 Traditional Polystone Horse Sculpture, 9"" x 3"" x 9"", Brown",B005V0EF7S,Amazon.com,06/09/2022 15:58,20.69,1,0,20.69,2.07
Home,"Deco 79 Traditional Polystone Horse Sculpture, 9"" x 3"" x 9"", Brown",B005V0EF7S,Amazon.com,06/09/2022 15:56,20.69,1,0,20.69,2.07
Kitchen & Dining,"LYNK PROFESSIONAL® Slide Out Spice Rack Pull Out Cabinet Organizer 4-1/4 inch Wide - Double, Chrome",B07NDZWMXF,3rd Party,06/09/2022 11:57,37.4,2,0,74.8,7.48
Kitchen & Dining,"Cozee Bay Bamboo Bag Storage Organizer for Kitchen Drawer, Baggie organizer, Compatible with Gallon, Quart, Sandwich and Snack Variety Size Bags (Blac",B09QK75511,3rd Party,06/09/2022 11:16,39.98,1,0,39.98,4
Cell Phones & Accessories,uCOLOR Leopard Flip Leather Wallet Case Card Holder Compatible with iPhone 13 Pro 6.1”Women and Girls with Card Holder Kickstand,B09LLN29WH,3rd Party,06/09/2022 11:05,18.99,1,0,18.99,0.76
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,Amazon.com,06/09/2022 09:44,58.99,1,0,58.99,5.9
Clothing & Accessories,"Zutano Cozie Fleece Baby Booties with Grippers, Khaki, 12 Months",B07HHGH8PX,3rd Party,06/09/2022 08:47,23,1,0,23,0.92
Furniture,"Loloi II Skye Collection SKY-01 Blush / Grey, Traditional 6'-0"" x 9'-0"" Area Rug",B0928HVK4S,Amazon.com,06/09/2022 06:17,227.99,1,0,227.99,22.8
Kitchen & Dining,"Bentgo Classic - All-in-One Stackable Bento Lunch Box Container - Modern Bento-Style Design Includes 2 Stackable Containers, Built-in Plastic Utensil ",B081PLLBBH,3rd Party,06/09/2022 05:43,14.99,0,1,-14.99,-1.5
Kitchen & Dining,"Bento Boxes for Adults - 1100 ML Bento Lunch Box For Kids Childrens With Spoon & Fork - Durable Perfect Size for On-the-Go Meal, BPA-Free and Food-Saf",B07X7QZNH3,3rd Party,06/09/2022 05:22,15.99,0,1,-15.99,-1.6
